행정동,구,장애수,교통안전지수,14~23세수,콜택시,대중교통 만족도,예산액,복지 만족도,의류소비인구
관문동,북구,2.015320789,-0.777949037,2.611395781,-0.693101328,-1.275476697,1.976390345,-0.628213694,1.644045004
관음동,북구,0.305941289,-0.777949037,0.69886473,-0.740276512,-1.275476697,-0.128905572,-0.628213694,0.079865474
구암동,북구,1.288943241,-0.777949037,1.84638336,-0.348339985,-1.275476697,1.817930573,-0.628213694,0.979524289
국우동,북구,1.032318837,-0.777949037,1.46387715,2.810484821,-1.275476697,1.136428532,-0.628213694,0.744386189
노원동,북구,0.171104738,-0.777949037,0.69886473,2.116372117,-1.275476697,-0.616005288,-0.628213694,-0.042815273
대현동,북구,0.46252567,-0.777949037,1.08137094,-0.109404054,-1.275476697,0.054401444,-0.628213694,0.222993013
동천동,북구,0.471224803,-0.777949037,1.08137094,0.202717162,-1.275476697,1.065637331,-0.628213694,0.233216408
무태조야동,북구,2.058816451,-0.777949037,2.993901991,-0.530283194,-1.275476697,1.969670651,-0.628213694,1.684938586
복현1동,북구,-1.016326823,-0.777949037,-0.831160111,-0.654723679,-1.275476697,-1.028563276,-0.628213694,-1.126495209
복현2동,북구,0.945327514,-0.777949037,1.46387715,0.04831406,-1.275476697,1.389432844,-0.628213694,0.662599024
산격1동,북구,1.197602351,-0.777949037,1.84638336,-0.676653764,-1.275476697,-0.891200219,-0.628213694,0.897737124
산격2동,북구,-0.572671075,-0.777949037,-0.06614769,0.340545199,-1.275476697,-0.719301057,-0.628213694,-0.717559384
산격3동,북구,-0.803198082,-0.777949037,-0.448653901,-0.263934656,-1.275476697,-0.817908667,-0.628213694,-0.932250692
산격4동,북구,-0.407387561,-0.777949037,-0.06614769,-0.688256309,-1.275476697,-0.96839857,-0.628213694,-0.574431846
읍내동,북구,1.123659727,-0.777949037,1.84638336,-0.368740064,-1.275476697,0.958278491,-0.628213694,0.826173354
칠성동,북구,0.506021332,-0.777949037,1.08137094,0.849399681,-1.275476697,0.605885209,-0.628213694,0.263886595
침산1동,북구,-0.972831162,-0.777949037,-0.831160111,-0.783116679,-1.275476697,-1.417993014,-0.628213694,-1.085601627
침산2동,북구,-0.38563973,-0.777949037,-0.06614769,-0.638403615,-1.275476697,0.111440711,-0.628213694,-0.553985054
침산3동,북구,0.332038686,-0.777949037,0.69886473,0.358395268,-1.275476697,0.228800957,-0.628213694,0.100312265
태전1동,북구,0.540817861,-0.777949037,1.08137094,-0.779419164,-1.275476697,0.470709959,-0.628213694,0.294556782
태전2동,북구,1.315040637,-0.777949037,1.84638336,-0.460667923,-1.275476697,0.709180978,-0.628213694,0.99997108
내당1동,서구,-0.450883223,1.242235666,-0.831160111,0.114359318,1.784133737,-0.911359302,-0.289487662,-0.594878637
"내당2,3동",서구,-0.163811856,1.242235666,-0.831160111,-0.134904153,1.784133737,-0.754618521,-0.289487662,-0.329070351
내당4동,서구,0.301591723,1.242235666,-0.448653901,-0.205411928,1.784133737,0.017990076,-0.289487662,0.110535661
비산1동,서구,-0.002877908,1.242235666,-0.448653901,-0.754046565,1.784133737,-0.757900232,-0.289487662,-0.175719416
"비산2,3동",서구,-0.107267496,1.242235666,-0.831160111,-0.047438813,1.784133737,-0.813689324,-0.289487662,-0.277953373
비산4동,서구,-0.381290164,1.242235666,-0.831160111,-0.327174902,1.784133737,-0.755712425,-0.289487662,-0.523314867
비산5동,서구,-0.720556325,1.242235666,-0.831160111,-0.65242867,1.784133737,-1.159831727,-0.289487662,-0.840240132
비산6동,서구,-0.53352498,1.242235666,-0.831160111,-0.481705504,1.784133737,-0.995902436,-0.289487662,-0.666442406
비산7동,서구,-0.020276173,1.242235666,-0.448653901,-0.257432131,1.784133737,-0.650541392,-0.289487662,-0.196166208
평리1동,서구,-0.611817171,1.242235666,-0.831160111,-0.719748932,1.784133737,-0.976055896,-0.289487662,-0.738006175
평리2동,서구,-0.846693743,1.242235666,-1.213666321,-0.56776834,1.784133737,-0.954802909,-0.289487662,-0.962920879
평리3동,서구,-0.246453613,1.242235666,-0.831160111,-0.158364245,1.784133737,-0.739616412,-0.289487662,-0.40063412
평리4동,서구,0.619110052,1.242235666,-0.448653901,-0.002176136,1.784133737,0.173480681,-0.289487662,0.396790738
평리5동,서구,-1.542624328,1.242235666,-1.596172531,-0.676271262,1.784133737,-1.663496272,-0.289487662,-1.606994803
평리6동,서구,-1.294699057,1.242235666,-1.213666321,-0.776869154,1.784133737,-1.409398056,-0.289487662,-1.371856704
상중이동,서구,0.510370898,1.242235666,-0.448653901,0.097401752,1.784133737,0.427735169,-0.289487662,0.294556782
원대동,서구,-0.372591032,1.242235666,-0.831160111,-0.166141775,1.784133737,-0.997308883,-0.289487662,-0.523314867
범어1동,수성구,-0.711857192,-0.437436318,-0.06614769,-0.276557205,0.424306877,-0.237514588,1.629959854,-0.226836395
범어2동,수성구,-0.655312832,-0.437436318,-0.06614769,-0.557185799,0.424306877,-0.340341541,1.629959854,-0.14504923
범어3동,수성구,-0.924985934,-0.437436318,-0.448653901,-0.480558,0.424306877,-0.289865696,1.629959854,-0.543761659
범어4동,수성구,-0.81624678,-0.437436318,-0.448653901,-0.666198723,0.424306877,0.073466623,1.629959854,-0.380187329
만촌1동,수성구,0.27114476,-0.437436318,1.08137094,-0.001411133,0.424306877,0.348974098,1.629959854,1.224885783
만촌2동,수성구,-0.672711097,-0.437436318,-0.06614769,-0.017731197,0.424306877,-0.794467872,1.629959854,-0.175719416
만촌3동,수성구,-0.677060663,-0.437436318,-0.06614769,-0.574780867,0.424306877,0.065184209,1.629959854,-0.175719416
수성1가동,수성구,-0.142064025,-0.437436318,0.69886473,-0.57822338,0.424306877,-0.114216007,1.629959854,0.611482046
"수성2,3가동",수성구,-0.864092008,-0.437436318,-0.448653901,-0.16728928,0.424306877,-1.64505618,1.629959854,-0.451751098
수성4가동,수성구,-0.255152746,-0.437436318,0.31635852,-0.621318548,0.424306877,-0.44285595,1.629959854,0.447907716
황금1동,수성구,0.140657775,-0.437436318,1.08137094,-0.847376929,0.424306877,0.45164478,1.629959854,1.030641267
황금2동,수성구,-0.716206758,-0.437436318,-0.06614769,-0.625908566,0.424306877,-0.808376077,1.629959854,-0.23705979
중동,수성구,-0.550923244,-0.437436318,-0.06614769,-0.064013877,0.424306877,-0.788373266,1.629959854,0.008301705
상동,수성구,-0.085519665,-0.437436318,0.69886473,-0.3779201,0.424306877,-0.272832052,1.629959854,0.693269211
파동,수성구,-0.185559687,-0.437436318,0.69886473,2.302140341,0.424306877,-0.643040338,1.629959854,0.550141673
두산동,수성구,-0.785799817,-0.437436318,-0.06614769,-0.148036705,0.424306877,-0.479736134,1.629959854,-0.339293746
지산1동,수성구,1.254146711,-0.437436318,2.611395781,0.002668883,0.424306877,0.266462501,1.629959854,2.676607961
지산2동,수성구,-0.115966629,-0.437436318,0.69886473,-0.597348455,0.424306877,-0.04764415,1.629959854,0.652375629
범물1동,수성구,1.32373977,-0.437436318,2.611395781,-0.52429067,0.424306877,-0.763526023,1.629959854,2.778841918
범물2동,수성구,-0.516126715,-0.437436318,0.31635852,-0.820984326,0.424306877,-0.197665237,1.629959854,0.059418683
고산1동,수성구,0.231998664,-0.437436318,1.08137094,-0.375625091,0.424306877,1.119707431,1.629959854,1.16354541
고산2동,수성구,0.432078707,-0.437436318,1.46387715,0.198637146,0.424306877,0.928586818,1.629959854,1.460023883
고산3동,수성구,0.658256148,-0.437436318,1.84638336,-0.752261559,0.424306877,1.363491697,1.629959854,1.797395938
남산1동,중구,-1.338194719,1.159253575,-0.831160111,-0.332912425,-0.595563267,-1.048878632,1.291233822,-1.371856704
남산2동,중구,-1.233805131,1.159253575,-0.831160111,-0.158236744,-0.595563267,-0.763994839,1.291233822,-1.259399352
남산3동,중구,-1.04242422,1.159253575,-0.448653901,-0.781459172,-0.595563267,-0.736647245,1.291233822,-1.065154835
남산4동,중구,0.036268187,1.159253575,0.69886473,1.283156371,-0.595563267,0.068778464,1.291233822,0.049195287
대봉1동,중구,-1.081570316,1.159253575,-0.448653901,-0.268907175,-0.595563267,-0.682420873,1.291233822,-1.106048418
대봉2동,중구,-1.429535608,1.159253575,-1.213666321,-0.894297112,-0.595563267,-1.539728875,1.291233822,-1.463867264
대신동,중구,-0.938034632,1.159253575,-0.448653901,0.488445775,-0.595563267,-0.541151016,1.291233822,-0.952697483
동인동,중구,-0.707507626,1.159253575,-0.06614769,0.360435276,-0.595563267,-0.495207059,1.291233822,-0.717559384
삼덕동,중구,-1.381690381,1.159253575,-1.213666321,1.622817694,-0.595563267,-0.741335404,1.291233822,-1.412750286
성내1동,중구,-1.381690381,1.159253575,-1.213666321,1.452732032,-0.595563267,-1.036064331,1.291233822,-1.412750286
성내2동,중구,-1.233805131,1.159253575,-0.831160111,3.303784243,-0.595563267,-1.111231146,1.291233822,-1.259399352
성내3동,중구,-1.346893851,1.159253575,-0.831160111,-0.328449907,-0.595563267,-1.051847799,1.291233822,-1.371856704
